Size, Type, Time
500000, "Sequential", 0.056136
500000, "Parallel", 0.088637
500000, "Built-in", 0.057222
500000, "Sequential", 0.057886
500000, "Parallel", 0.082992
500000, "Built-in", 0.057759
500000, "Sequential", 0.056860
500000, "Parallel", 0.084367
500000, "Built-in", 0.057968
500000, "Sequential", 0.057064
500000, "Parallel", 0.082588
500000, "Built-in", 0.057913
500000, "Sequential", 0.056352
500000, "Parallel", 0.085689
500000, "Built-in", 0.057520
500000, "Sequential", 0.056127
500000, "Parallel", 0.086561
500000, "Built-in", 0.057770
500000, "Sequential", 0.058859
500000, "Parallel", 0.087527
500000, "Built-in", 0.057195
500000, "Sequential", 0.058796
500000, "Parallel", 0.086033
500000, "Built-in", 0.057155
5000000, "Sequential", 0.063732
5000000, "Parallel", 0.087428
5000000, "Built-in", 0.057997
200000, "Sequential", 0.026912
200000, "Parallel", 0.048232
200000, "Built-in", 0.023131
200000, "Sequential", 0.023464
200000, "Parallel", 0.044743
200000, "Built-in", 0.022336
200000, "Sequential", 0.025714
200000, "Parallel", 0.045513
200000, "Built-in", 0.024508
200000, "Sequential", 0.023699
200000, "Parallel", 0.040669
200000, "Built-in", 0.022788
200000, "Sequential", 0.026286
200000, "Parallel", 0.042628
200000, "Built-in", 0.022291
200000, "Sequential", 0.020557
200000, "Parallel", 0.039699
200000, "Built-in", 0.022033
200000, "Sequential", 0.021321
200000, "Parallel", 0.044614
200000, "Built-in", 0.021767
200000, "Sequential", 0.022193
200000, "Parallel", 0.045154
200000, "Built-in", 0.022153
200000, "Sequential", 0.022288
200000, "Parallel", 0.043110
200000, "Built-in", 0.022168
2000000, "Sequential", 0.026198
2000000, "Parallel", 0.046596
2000000, "Built-in", 0.022588
100000, "Sequential", 0.014576
100000, "Parallel", 0.029479
100000, "Built-in", 0.011806
100000, "Sequential", 0.010368
100000, "Parallel", 0.035428
100000, "Built-in", 0.010818
100000, "Sequential", 0.010355
100000, "Parallel", 0.033178
100000, "Built-in", 0.010654
100000, "Sequential", 0.010367
100000, "Parallel", 0.034130
100000, "Built-in", 0.010628
100000, "Sequential", 0.010281
100000, "Parallel", 0.034075
100000, "Built-in", 0.010858
100000, "Sequential", 0.010263
100000, "Parallel", 0.040028
100000, "Built-in", 0.011538
100000, "Sequential", 0.010366
100000, "Parallel", 0.034993
100000, "Built-in", 0.011529
100000, "Sequential", 0.010518
100000, "Parallel", 0.037239
100000, "Built-in", 0.010630
100000, "Sequential", 0.010308
100000, "Parallel", 0.036507
100000, "Built-in", 0.010592
1000000, "Sequential", 0.010450
1000000, "Parallel", 0.034739
1000000, "Built-in", 0.011168
5000000, "Sequential", 0.660950
5000000, "Parallel", 0.764039
5000000, "Built-in", 0.687803
5000000, "Sequential", 0.676944
5000000, "Parallel", 0.768235
5000000, "Built-in", 0.689116
5000000, "Sequential", 0.660129
5000000, "Parallel", 0.770842
5000000, "Built-in", 0.683763
5000000, "Sequential", 0.678340
5000000, "Parallel", 0.791111
5000000, "Built-in", 0.714435
5000000, "Sequential", 0.660825
5000000, "Parallel", 0.767952
5000000, "Built-in", 0.689748
5000000, "Sequential", 0.668394
5000000, "Parallel", 0.758803
5000000, "Built-in", 0.682344
5000000, "Sequential", 0.650742
5000000, "Parallel", 0.773905
5000000, "Built-in", 0.693796
5000000, "Sequential", 0.671657
5000000, "Parallel", 0.763686
5000000, "Built-in", 0.683240
5000000, "Sequential", 0.668794
5000000, "Parallel", 0.785633
5000000, "Built-in", 0.686941
50000000, "Sequential", 0.668216
50000000, "Parallel", 0.719600
50000000, "Built-in", 0.692520
10000000, "Sequential", 1.391844
10000000, "Parallel", 1.537668
10000000, "Built-in", 1.429787
10000000, "Sequential", 1.379194
10000000, "Parallel", 1.505511
10000000, "Built-in", 1.431103
10000000, "Sequential", 1.374595
10000000, "Parallel", 1.489420
10000000, "Built-in", 1.427124
10000000, "Sequential", 1.375297
10000000, "Parallel", 1.514686
10000000, "Built-in", 1.445993
10000000, "Sequential", 1.377201
10000000, "Parallel", 1.549605
10000000, "Built-in", 1.427081
10000000, "Sequential", 1.401969
10000000, "Parallel", 1.479218
10000000, "Built-in", 1.441313
10000000, "Sequential", 1.382091
10000000, "Parallel", 1.527654
10000000, "Built-in", 1.434124
10000000, "Sequential", 1.385236
10000000, "Parallel", 1.540107
10000000, "Built-in", 1.450641
10000000, "Sequential", 1.393242
10000000, "Parallel", 1.526706
10000000, "Built-in", 1.436827
100000000, "Sequential", 1.381532
100000000, "Parallel", 1.500176
100000000, "Built-in", 1.448873
